randomization_prob,car_density,Run,average_speed
0.2,0.1,94,4.4950495049504955
0.2,0.1,95,4.556435643564357
0.2,0.1,96,4.622772277227722
0.2,0.1,97,4.581188118811881
0.2,0.1,98,4.6
0.2,0.1,99,4.515841584158416
0.2,0.2,100,2.7297029702970295
0.2,0.2,101,2.9435643564356435
0.2,0.2,102,2.8064356435643565
0.2,0.2,103,3.0306930693069307
0.2,0.2,104,2.8930693069306934
0.2,0.2,105,2.8757425742574254
0.2,0.2,106,2.7801980198019804
0.2,0.2,107,2.8376237623762366
0.2,0.2,108,2.786633663366337
0.2,0.2,109,2.6945544554455445
0.2,0.2,110,2.7846534653465347
0.2,0.2,111,2.887128712871288
0.2,0.2,112,2.804455445544554
0.2,0.2,113,3.0034653465346532
0.2,0.2,114,2.8396039603960403
0.2,0.2,115,2.9272277227722774
0.2,0.2,116,2.9198019801980197
0.2,0.2,117,2.8678217821782175
0.2,0.2,118,2.819306930693069
0.2,0.2,119,2.8099009900990093
0.2,0.2,120,2.951485148514851
0.2,0.2,121,2.9004950495049497
0.2,0.2,122,2.973762376237624
0.2,0.2,123,2.8054455445544564
0.2,0.2,124,2.706930693069307
0.2,0.2,125,2.835643564356436
0.2,0.2,126,2.8455445544554463
0.2,0.2,127,2.6995049504950486
0.2,0.2,128,2.8757425742574254
0.2,0.2,129,2.860891089108911
0.2,0.2,130,2.883168316831683
0.2,0.2,131,2.805940594059406
0.2,0.2,132,2.9608910891089106
0.2,0.2,133,2.8108910891089103
0.2,0.2,134,2.8905940594059403
0.2,0.2,135,2.74950495049505
0.2,0.2,136,2.6445544554455442
0.2,0.2,137,2.794554455445545
0.2,0.2,138,2.878217821782178
0.2,0.2,139,2.851980198019801
0.2,0.2,140,2.823762376237623
0.2,0.2,141,2.8618811881188115
0.2,0.2,142,2.6618811881188122
0.2,0.2,143,2.808415841584158
0.2,0.2,144,2.9351485148514858
0.2,0.2,145,2.702475247524752
0.2,0.2,146,2.935148514851485
0.2,0.2,147,2.7574257425742568
0.2,0.2,148,2.717326732673267
0.2,0.2,149,2.8940594059405935
0.2,0.2,150,2.9282178217821784
0.2,0.2,151,2.8316831683168315
0.2,0.2,152,2.9113861386138615
0.2,0.2,153,2.9321782178217832
0.2,0.2,154,2.747029702970297
0.2,0.2,155,2.691584158415842
0.2,0.2,156,2.682178217821782
0.2,0.2,157,2.849504950495049
0.2,0.2,158,2.8198019801980205
0.2,0.2,159,2.8118811881188126
0.2,0.2,160,2.767821782178218
0.2,0.2,161,2.9955445544554458
0.2,0.2,162,2.7589108910891094
0.2,0.2,163,2.9539603960396037
0.2,0.2,164,2.800990099009901
0.2,0.2,165,2.947524752475248
0.2,0.2,166,2.832178217821782
0.2,0.2,167,2.7777227722772277
0.2,0.2,168,2.7415841584158414
0.2,0.2,169,2.7965346534653466
0.2,0.2,170,2.5391089108910885
0.2,0.2,171,2.8960396039603964
0.2,0.2,172,2.917326732673267
0.2,0.2,173,2.9103960396039614
0.2,0.2,174,2.842079207920792
0.2,0.2,175,2.8069306930693076
0.2,0.2,176,2.9257425742574257
0.2,0.2,177,2.778217821782178
0.2,0.2,178,2.697524752475248
0.2,0.2,179,2.7227722772277234
0.2,0.2,180,2.7509900990099014
0.2,0.2,181,2.653960396039604
0.2,0.2,182,2.9480198019801973
0.2,0.2,183,2.6806930693069306
0.2,0.2,184,2.846039603960397
0.2,0.2,185,2.776732673267327
0.2,0.2,186,2.805940594059406
0.2,0.2,187,2.848019801980199
0.2,0.2,188,2.8440594059405946
0.2,0.2,189,2.882178217821783
0.2,0.2,190,2.951485148514851
0.2,0.2,191,2.8519801980198025
0.2,0.2,192,2.9039603960396048
0.2,0.2,193,2.9267326732673262
0.2,0.2,194,2.863861386138615
0.2,0.2,195,2.904455445544555
0.2,0.2,196,2.7618811881188123
0.2,0.2,197,2.819801980198019
0.2,0.2,198,2.98019801980198
0.2,0.2,199,2.769306930693069
0.2,0.30000000000000004,200,2.091089108910891
0.2,0.30000000000000004,201,2.0669966996699665
0.2,0.30000000000000004,202,1.9247524752475245
0.2,0.30000000000000004,203,2.07986798679868
0.2,0.30000000000000004,204,2.1366336633663368
0.2,0.30000000000000004,205,2.054785478547855
0.2,0.30000000000000004,206,2.10990099009901
0.2,0.30000000000000004,207,2.0976897689768976
0.2,0.30000000000000004,208,2.0145214521452144
